fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,delta_real,delta_predicho,caida_real,alerta_caida_predicha,deteccion_caida_correcta,run_id_alerta_caida_oficial,run_dir_origen
2026-03-30,2026-03-30,2,0.0669147100498927,0.0668779193556926,-3.679069420010894e-05,0.01948756634396359,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-04-06,2026-04-06,2,0.110472470964671,0.042142027416753,-0.06833044354791801,-0.024032448389348204,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-04-13,2026-04-13,2,0.0668779193556926,0.0732244276596991,0.006346508304006501,0.0499324916166715,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-11-24,2025-11-24,3,0.1275159595753403,0.3038130765246692,0.17629711694932892,-0.02713331191760869,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-01,2025-12-01,3,0.2796059620794268,0.0677012815654136,-0.21190468051401318,-0.2079389671033175,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-08,2025-12-08,3,0.0821158156091689,0.5836218782012019,0.501506062592033,0.0711457941721219,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-15,2025-12-15,3,0.3038130765246692,0.1083419780858929,-0.1954710984387763,-0.2655426271679047,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-22,2025-12-22,3,0.0677012815654136,0.0687870202028637,0.0010857386374500955,-0.090085458207927,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-29,2025-12-29,3,0.5836218782012019,0.2454262295855256,-0.3381956486156763,-0.4401912385685468,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-05,2026-01-05,3,0.1083419780858929,0.3205651914908854,0.2122232134049925,-0.04066330075596719,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-12,2026-01-12,3,0.0687870202028637,0.1700074058227992,0.10122038561993549,0.013182481754030792,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-19,2026-01-19,3,0.2454262295855256,-0.0198367240853287,-0.2652629536708543,-0.1559121211188815,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-26,2026-01-26,3,0.3205651914908854,0.0960196886446368,-0.22454550284624863,-0.2420596143938189,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-02,2026-02-02,3,0.1700074058227992,0.2772506816416401,0.10724327581884088,-0.042123071399836204,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
