Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-01 since:2025-02-28&src=typed_query,Los Traicioneros Con Ava,https://x.com/TraidoresConAVA,TraidoresConAVA,False,2025-02-28 17:28:06+00:00,False,Los míseros chayoteros de la #4T @PartidoMorenaMx #Tampico #Madero #Altamira #CdVictoria #LaCasaDelLosFamosoCol #NuevoLaredo #Reynosa #Matamoros #Tamaulipas @MonicaVTampico @gobtam https://www.facebook.com/share/p/15u8kwyTgm/,1895526403212468551,https://x.com/TraidoresConAVA/status/1895526403212468551,0,2,0,49,0,https://pbs.twimg.com/media/Gk5DNufWwAAaHOq.jpg;https://pbs.twimg.com/media/Gk5DNwOWgAAKCqg.jpg;https://pbs.twimg.com/media/Gk5DNupWkAAu_il.jpg;https://pbs.twimg.com/media/Gk5DNwNWkAAc61d.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-03-01 01:38:08+00:00,False,"Alcaldesa de Tampico, Monica Villarreal acompañada del Secretario de Salud estatal, Vicente Hernández emprende nueva jornada de limpieza y fumigación en la colonia Tamaulipas https://www.notivizanoreste.com.mx/salud/encabeza-monica-villarreal-frontal-combate-al-dengue/ @MonicaVTampico @TampicoGob @drvicentejoel1 @TamaulipasSalud @CoeprisTam",1895649725979967680,https://x.com/Notiviza/status/1895649725979967680,0,2,0,44,0,https://pbs.twimg.com/media/Gk6zNDWXAAAeBsb.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,Alfredo Carrillo,https://x.com/boccelliacc,boccelliacc,False,2025-03-01 03:16:56+00:00,False,"@pepekann @MonicaVTampico Morena destruye todo lo que si funciona, solo porque ellos no lo crearon.",1895674590510342202,https://x.com/boccelliacc/status/1895674590510342202,1,1,3,40,0,,True,pepekann,https://x.com/pepekann,josetheisk,pepekann,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,josetheisk,https://x.com/pepekann,pepekann,False,2025-03-01 03:17:41+00:00,False,@boccelliacc @MonicaVTampico Totalmente de acuerdo,1895674775466553817,https://x.com/pepekann/status/1895674775466553817,0,0,0,30,0,,True,boccelliacc,https://x.com/boccelliacc,Alfredo Carrillo,boccelliacc,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,𝕄𝕒𝕣𝕚𝕖 𝕄𝕒𝕣𝕚𝕤𝕔𝕒𝕝 •🌻,https://x.com/marie_mariscal,marie_mariscal,False,2025-03-01 18:24:34+00:00,False,"@pepekann @MonicaVTampico Según unos los pintarán y otros definitivamente los quitarían, yo creo que fue porque demostraban con fotos lo ineficiente que era la recolección de basura y piensan que quitándolos ya no será tan evidente, de otra manera no me explico.",1895903001652686897,https://x.com/marie_mariscal/status/1895903001652686897,1,0,0,28,0,,True,pepekann,https://x.com/pepekann,josetheisk,pepekann,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,C.C.,https://x.com/azhul_sky,azhul_sky,False,2025-03-01 18:58:57+00:00,False,"@pepekann @MonicaVTampico Siempre cambian de color de ciudad , que les extraña. No soy morenista .",1895911654828998748,https://x.com/azhul_sky/status/1895911654828998748,0,0,0,11,0,,True,pepekann,https://x.com/pepekann,josetheisk,pepekann,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,josetheisk,https://x.com/pepekann,pepekann,False,2025-03-01 20:22:14+00:00,False,"@marie_mariscal @MonicaVTampico Es que no entiendo, en mi caso si funcionaba eso de los contenedores, pasaban todos los días, cuando cambio de alcalde dejaron de mandarlos, según ellos por qué chucho no dejó ningún camión servible, y la basura se acumuló, era tan fácil, la gente ya estaba acostumbrada",1895932613057266050,https://x.com/pepekann/status/1895932613057266050,1,0,0,28,0,,True,marie_mariscal,https://x.com/marie_mariscal,𝕄𝕒𝕣𝕚𝕖 𝕄𝕒𝕣𝕚𝕤𝕔𝕒𝕝 •🌻,marie_mariscal,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,ꂦꈤꌩꊼ ꋪìꂦꌗ,https://x.com/rios_onix,rios_onix,False,2025-03-01 20:31:17+00:00,False,"@pepekann @MonicaVTampico Porque la flamante presidente municipal, dijo que daban mal aspecto a la ciudad, y que por eso había comprado no sé cuántos camiones para la basura, cuando recién entró",1895934891369673118,https://x.com/rios_onix/status/1895934891369673118,1,0,0,25,0,,True,pepekann,https://x.com/pepekann,josetheisk,pepekann,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,josetheisk,https://x.com/pepekann,pepekann,False,2025-03-01 21:14:57+00:00,False,"@rios_onix @MonicaVTampico Claro que daba mal aspecto, si dejó de mandar a recoger la basura, provocó que se acomulara para echarle la culpa a chucho y así poder comprar los camiones a quien sebe quien..esa ya me la sé..",1895945881284985220,https://x.com/pepekann/status/1895945881284985220,1,0,1,20,0,,True,rios_onix,https://x.com/rios_onix,ꂦꈤꌩꊼ ꋪìꂦꌗ,rios_onix,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-02 since:2025-03-01&src=typed_query,𝕄𝕒𝕣𝕚𝕖 𝕄𝕒𝕣𝕚𝕤𝕔𝕒𝕝 •🌻,https://x.com/marie_mariscal,marie_mariscal,False,2025-03-01 21:32:23+00:00,False,"@pepekann @MonicaVTampico Acá por donde vivo igual funcionaba y jamas se veían con exceso de basura hasta que obviamente la recolección dejó de pasar. Pero bueno, a ver que hace la señora ahora.",1895950266014605529,https://x.com/marie_mariscal/status/1895950266014605529,0,0,0,7,0,,True,pepekann,https://x.com/pepekann,josetheisk,pepekann,es,Top
