run_timestamp,week_dir,prefix,media_type,n_files_detected,input_files,output_path,status,extracted_count,unique_count,missing_flag,error_message,notes
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26,2026-01-12,facebook,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26/2026-01-12_semana_12enero_18enero_26_facebook.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/facebook_semana_texto/2026-01-12_facebook.txt,ok,521,417,False,,output_md5=5347988ba9a0ecdc05f222d3a0f3ee73 size=33151
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26,2026-01-12,twitter,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26/2026-01-12_semana_12enero_18enero_26_twitter.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/twitter_semana_texto/2026-01-12_twitter.txt,ok,77,71,False,,output_md5=df164f1f925709720d3327dcd8b01f11 size=12247
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26,2026-01-12,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26/2026-01-12_semana_12enero_18enero_26_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2026-01-12_youtube.txt,ok,12214,6052,False,,output_md5=45c678edd876c633fc53689103b01737 size=676101
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26,2026-01-12,medios,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-12_semana_12enero_18enero_26/2026-01-12_semana_12enero_18enero_26_medios.txt,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/medios_semana_texto/2026-01-12_medios.txt,ok,,,False,,output_md5=550e411aeda0900aecc20b25a397a1cd size=412692
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26,2026-01-19,facebook,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26/2026-01-19_semana_19enero_25enero_26_facebook.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/facebook_semana_texto/2026-01-19_facebook.txt,ok,540,416,False,,output_md5=f1292e67c1a8745ff2302e4d7f4a9f57 size=32124
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26,2026-01-19,twitter,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26/2026-01-19_semana_19enero_25enero_26_twitter.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/twitter_semana_texto/2026-01-19_twitter.txt,ok,54,52,False,,output_md5=aeb5c8ae2968334f591825e0f738515e size=8817
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26,2026-01-19,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26/2026-01-19_semana_19enero_25enero_26_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2026-01-19_youtube.txt,ok,6890,2723,False,,output_md5=5324572ecc1440b6a2d2d59870ce69bc size=325368
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26,2026-01-19,medios,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-19_semana_19enero_25enero_26/2026-01-19_semana_19enero_25enero_26_medios.txt,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/medios_semana_texto/2026-01-19_medios.txt,ok,,,False,,output_md5=8a10168588e979d0b5b3d483856f133d size=405156
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26,2026-01-26,facebook,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26/2026-01-26_semana_26enero_01febrero_26_facebook.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/facebook_semana_texto/2026-01-26_facebook.txt,ok,423,352,False,,output_md5=a59d7ab944a25c86ce0e690fd3ae631b size=31661
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26,2026-01-26,twitter,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26/2026-01-26_semana_26enero_01febrero_26_twitter.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/twitter_semana_texto/2026-01-26_twitter.txt,ok,50,50,False,,output_md5=f33a5d615045c3081ccf3c7ecfd33946 size=9231
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26,2026-01-26,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-26_semana_26enero_01febrero_26/2026-01-26_semana_26enero_01febrero_26_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2026-01-26_youtube.txt,ok,2194,624,False,,output_md5=9a84843a28e439489795e4c53911f904 size=71521
